epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,728.751,1.96879,3.52478,2.85733,1.68444,0,0.22752,0.16949,0.10976,0.04719,0.21681,0.15301,0.0905,0.02925,1.97992,3.26755,14.5335,1.68972,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,758.918,1.95711,3.48936,2.82714,1.66619,0,0.26423,0.17736,0.11934,0.05423,0.25351,0.15884,0.0992,0.03432,1.95892,3.22982,15.5191,1.68854,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,788.874,1.96474,3.50931,2.82877,1.67673,0,0.26395,0.17431,0.11928,0.05572,0.24047,0.15767,0.09636,0.03491,1.97142,3.21909,11.621,1.70412,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,819.005,1.94382,3.45471,2.78899,1.64892,0,0.30113,0.17003,0.13025,0.05794,0.28375,0.16047,0.10949,0.03727,1.97176,3.23568,16.0787,1.66179,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,848.985,1.9368,3.46115,2.75316,1.64965,0,0.32638,0.18061,0.1447,0.06502,0.31539,0.1703,0.12692,0.04564,1.94849,3.12918,14.6257,1.6647,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,879.034,1.92706,3.42849,2.77518,1.64317,0,0.26042,0.19379,0.12418,0.05508,0.23104,0.17698,0.10357,0.03463,1.95733,3.19675,14.9319,1.6908,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,909.169,1.92971,3.45377,2.7582,1.64075,0,0.30643,0.18991,0.14259,0.06747,0.26519,0.17932,0.12406,0.04666,1.91924,3.12254,12.4421,1.64154,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,939.186,1.91385,3.41002,2.74019,1.62638,0,0.28233,0.2061,0.14673,0.06975,0.27242,0.19008,0.12652,0.04473,1.91024,3.11982,13.834,1.63923,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,969.512,1.93154,3.44377,2.75836,1.63348,0,0.27315,0.18696,0.13436,0.06193,0.26236,0.16801,0.11448,0.03952,1.90712,3.16046,14.5104,1.63716,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,999.428,1.91374,3.38425,2.69782,1.61321,0,0.30496,0.20294,0.14374,0.06719,0.30393,0.18176,0.12673,0.04497,1.90859,3.11925,11.8738,1.64497,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1029.65,1.90146,3.41054,2.7239,1.61727,0,0.30266,0.19796,0.14727,0.06687,0.29175,0.18254,0.13156,0.04718,1.89072,3.102,15.2127,1.63485,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1059.64,1.89486,3.38503,2.70687,1.61498,0,0.30934,0.19969,0.15219,0.07043,0.29154,0.17709,0.12895,0.04497,1.87536,3.09025,11.8445,1.6232,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1089.63,1.89246,3.39795,2.68119,1.61824,0,0.30895,0.2078,0.15656,0.07396,0.28333,0.19163,0.13485,0.04799,1.85358,3.06898,14.1812,1.60903,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1119.85,1.88516,3.36974,2.66399,1.60133,0,0.30565,0.21225,0.15954,0.07292,0.27871,0.194,0.13307,0.04751,1.88344,3.09846,14.1501,1.61724,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1149.9,1.86104,3.35129,2.63831,1.58746,0,0.30349,0.21609,0.15941,0.07312,0.2789,0.19501,0.13543,0.04715,1.8734,3.0918,15.7447,1.61398,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1179.88,1.88428,3.34303,2.66754,1.60285,0,0.30472,0.22443,0.16341,0.07794,0.30273,0.19655,0.14261,0.05069,1.84782,3.0608,14.7066,1.59383,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1209.99,1.88779,3.35226,2.65886,1.60367,0,0.33259,0.20521,0.16034,0.07563,0.30585,0.19364,0.13915,0.04987,1.86035,3.05836,12.9741,1.59445,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1240.12,1.85088,3.32903,2.61653,1.58569,0,0.29899,0.21994,0.15955,0.07536,0.27732,0.20546,0.13827,0.0476,1.8539,3.07215,15.2542,1.58529,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1270.18,1.85859,3.32811,2.60469,1.58233,0,0.3222,0.19532,0.15578,0.07322,0.29361,0.17946,0.13108,0.04565,1.86705,3.1009,13.1452,1.59444,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1300.21,1.85932,3.32817,2.62354,1.583,0,0.32824,0.21527,0.16008,0.07597,0.30093,0.19199,0.13486,0.04678,1.83759,3.08639,14.5072,1.56241,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1330.25,1.84397,3.30929,2.58836,1.56532,0,0.3249,0.21633,0.16776,0.07821,0.30663,0.19933,0.1485,0.05099,1.84144,3.08509,16.0672,1.56988,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1360.17,1.85291,3.2907,2.60573,1.5715,0,0.31938,0.21238,0.16606,0.07952,0.31092,0.19272,0.14388,0.05081,1.83233,3.01346,15.1114,1.5739,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1390.23,1.84618,3.29915,2.58039,1.5669,0,0.34359,0.22078,0.17264,0.08302,0.32614,0.20712,0.14978,0.05119,1.83011,3.03687,13.8887,1.57964,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1420.27,1.84701,3.31622,2.57325,1.56517,0,0.33861,0.21277,0.17151,0.08203,0.31529,0.19763,0.14994,0.05383,1.83705,3.04953,12.5451,1.55697,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1450.32,1.82825,3.25708,2.51221,1.55498,0,0.34902,0.2308,0.18429,0.08872,0.32007,0.20845,0.15506,0.05443,1.81624,3.00046,15.1284,1.56087,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1480.5,1.8156,3.2737,2.54261,1.54787,0,0.36869,0.22643,0.17425,0.0838,0.34051,0.20156,0.15175,0.05253,1.8237,3.01184,16.4182,1.56946,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1510.48,1.81985,3.2643,2.50237,1.5428,0,0.32172,0.22547,0.1709,0.08323,0.28813,0.19313,0.14198,0.04956,1.82404,3.03092,14.9964,1.54561,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1540.69,1.81361,3.24031,2.51519,1.54498,0,0.3254,0.22485,0.17301,0.08331,0.29965,0.20305,0.14654,0.05081,1.8203,3.04522,16.9243,1.54358,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1570.78,1.81493,3.26912,2.52961,1.54744,0,0.34141,0.22978,0.18061,0.0876,0.32696,0.20234,0.15345,0.05523,1.80474,3.01018,15.821,1.53892,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1600.67,1.80348,3.24293,2.50859,1.54054,0,0.34638,0.22432,0.17968,0.08515,0.32656,0.21592,0.16053,0.05491,1.81311,2.96925,13.2254,1.55008,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1630.88,1.80456,3.22094,2.48798,1.53482,0,0.33492,0.23396,0.17618,0.08587,0.32082,0.21326,0.15457,0.0537,1.79526,2.99048,16.6333,1.5385,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1660.91,1.80691,3.24054,2.49466,1.54247,0,0.3545,0.2353,0.17895,0.08804,0.33531,0.21621,0.15569,0.05727,1.80751,2.96722,14.9932,1.54361,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1690.91,1.79568,3.22047,2.446,1.52542,0,0.35298,0.23591,0.18542,0.09124,0.33135,0.21177,0.1602,0.05738,1.78934,2.9995,15.797,1.52932,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1720.94,1.79151,3.19508,2.47287,1.52605,0,0.32039,0.2448,0.18826,0.09071,0.32035,0.21479,0.16317,0.05802,1.79084,2.97067,15.4547,1.52951,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1750.86,1.78605,3.19161,2.4422,1.51384,0,0.34439,0.23343,0.18457,0.0881,0.3148,0.20993,0.15462,0.05469,1.79471,2.99642,14.7242,1.53022,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1780.9,1.78146,3.20403,2.43557,1.50632,0,0.36241,0.23525,0.18856,0.0915,0.34993,0.21526,0.16414,0.05865,1.79752,2.98056,13.7931,1.52934,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1810.94,1.77399,3.1798,2.43835,1.50884,0,0.34794,0.23796,0.18732,0.09191,0.32723,0.20764,0.15666,0.05611,1.78173,2.96296,14.4281,1.5144,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
